Region,Name,NumberUnits,MaxPower
Andalucía,Lithium-Ion,1,2647.381159
Andalucía,Pumped Storage,1,2385.361183
Aragón,Lithium-Ion,1,413.2315424
Aragón,Pumped Storage,1,372.3326645
Cantabria,Lithium-Ion,1,183.2076066
Cantabria,Pumped Storage,1,165.0749503
Castilla y León,Lithium-Ion,1,760.6947781
Castilla y León,Pumped Storage,1,685.4063269
Castilla-La Mancha,Lithium-Ion,1,639.9653577
Castilla-La Mancha,Pumped Storage,1,576.6258923
Cataluña,Lithium-Ion,1,2399.724452
Cataluña,Pumped Storage,1,2162.215871
Comunidad Foral de Navarra,Lithium-Ion,1,204.4655102
Comunidad Foral de Navarra,Pumped Storage,1,184.2288896
Comunidad Valenciana,Lithium-Ion,1,1567.291788
Comunidad Valenciana,Pumped Storage,1,1412.171791
Comunidad de Madrid,Lithium-Ion,1,2137.432076
Comunidad de Madrid,Pumped Storage,1,1925.88343
Extremadura,Lithium-Ion,1,338.7570467
Extremadura,Pumped Storage,1,305.2291534
Galicia,Lithium-Ion,1,853.0767485
Galicia,Pumped Storage,1,768.6449514
La Rioja,Lithium-Ion,1,99.6745444
La Rioja,Pumped Storage,1,89.8094286
País Vasco,Lithium-Ion,1,694.3631725
País Vasco,Pumped Storage,1,625.6397773
Principado de Asturias,Lithium-Ion,1,324.6685744
Principado de Asturias,Pumped Storage,1,292.5350633
Región de Murcia,Lithium-Ion,1,466.8399809
Región de Murcia,Pumped Storage,1,420.6353004
