Region,Name,NumberUnits,MaxPower
Andalucía,onwind,1,2660.22
Andalucía,solar,1,1779.21
Aragón,onwind,1,945.95
Aragón,ror,1,36.65
Aragón,solar,1,480.17
Cantabria,onwind,1,1386.04
Cantabria,solar,1,379.39
Castilla y León,onwind,1,1162.47
Castilla y León,solar,1,397.93
Castilla-La Mancha,onwind,1,4457.61
Castilla-La Mancha,solar,1,2463.28
Cataluña,onwind,1,363.48
Cataluña,ror,1,110.36
Cataluña,solar,1,287.89
Comunidad Foral de Navarra,onwind,1,2389.28
Comunidad Foral de Navarra,solar,1,678.3
Comunidad Valenciana,onwind,1,2739.78
Comunidad Valenciana,solar,1,1155.95
Comunidad de Madrid,onwind,1,1001.58
Comunidad de Madrid,solar,1,763.25
Extremadura,onwind,1,1286.9
Extremadura,solar,1,615.61
Galicia,onwind,1,2136.93
Galicia,solar,1,244.63
La Rioja,onwind,1,2379.45
La Rioja,solar,1,1064.55
País Vasco,onwind,1,1887.27
País Vasco,solar,1,564.06
Principado de Asturias,onwind,1,1380.89
Principado de Asturias,solar,1,250.14
Región de Murcia,onwind,1,648.0
Región de Murcia,solar,1,557.19
