Name,Zone,NumberUnits,MaxPower,MinPower,MaxPowerProfile,Energy,Kappa,Capacity,MaxAddedCapacity,MaxRetCapacity,InvestmentCost
Solar|PV,Portugal,1,11553.53323567708,0,EDF__PV-LoadFactor-PresentClimate-PT__13082019__13082019__v1.csv,21688434.805922225,1,11553.53323567708,1000,0,476774.99999999977
Solar|PV,BigFrance,1,367510.1248336191,0,AggregatedTimeSerie_Solar|PV_BigFrance.csv,522510525.34034365,1,367510.1248336191,1000,0,476774.9999999997
Solar|PV,Spain,1,107656.49900399601,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,202737929.41437143,1,107656.49900399601,1000,0,476774.99999999977
Wind|Onshore,Portugal,1,14351.49046815422,0,EDF__WindOnshore-LoadFactor-PresentClimate-PT__13082019__13082019__v1.csv,35851599.91865112,1,14351.49046815422,1000,0,1059499.9999999998
Wind|Onshore,BigFrance,1,231281.85652637598,0,AggregatedTimeSerie_Wind|Onshore_BigFrance.csv,515510696.91874975,1,231281.85652637598,1000,0,1059499.9999999998
Wind|Onshore,Spain,1,69005.61018476724,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,153658850.01371253,1,69005.61018476724,1000,0,1059499.9999999998
Wind|Offshore,Portugal,1,1.0,0,EDF__WindOffshore-LoadFactor-PresentClimate-UK__25112019__25112019__v1.csv,0.0,1,1.0,1000,0,2051191.9999999998
Wind|Offshore,BigFrance,1,62886.81891284822,0,AggregatedTimeSerie_Wind|Offshore_BigFrance.csv,268127931.7124242,1,62886.81891284822,1000,0,2051191.9999999998
Wind|Offshore,Spain,1,1.0,0,EDF__WindOffshore-LoadFactor-PresentClimate-UK__25112019__25112019__v1.csv,0.0,1,1.0,1000,0,2051191.9999999998
Hydro|Run of River,Portugal,1,13873513.166666666,0,EDF__RunOfRiver-HourlyCoefficient-PresentClimate-PT__18092019__18092019__v1.csv,13873513.166666666,1,4373.0,0,0,0.0
Hydro|Run of River,BigFrance,1,86294837.00055555,0,AggregatedTimeSerie_Hydro|Run of River_BigFrance.csv,86294837.00055555,1,26508.246667,0,0,0.0
Hydro|Run of River,Spain,1,3314753.675,0,EDF__RunOfRiver-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv,3314753.675,1,1330.0,0,0,0.0
