Zone,Name,NumberUnits,MaxPower,VariableCost,FixedCost,InvestmentCost,Capacity,Energy,InvestmentCost,MaxAddedCapacity,MaxRetCapacity
Portugal,Biomass|w/ CCS,1,1.0,41.36332040031596,82863.49499999997,8613734.999999998,1.0,0.0,8613734.999999998,1000,0
BigFrance,Biomass|w/ CCS,1,1.0,41.36332040031596,82863.49499999997,8613734.999999998,1.0,0.0,8613734.999999998,1000,0
Spain,Biomass|w/ CCS,1,1.0,41.36332040031596,82863.49499999997,8613734.999999998,1.0,0.0,8613734.999999998,1000,0
Portugal,Biomass|w/o CCS,1,737.896451404882,64.02184635651166,55242.32999999998,2511014.999999999,737.896451404882,2967786.269379445,2511014.999999999,1000,0
BigFrance,Biomass|w/o CCS,1,22215.738816177636,64.02184635651166,55242.32999999998,2511014.999999999,22215.738816177636,57953379.033650585,2511014.999999999,1000,0
Spain,Biomass|w/o CCS,1,1747.2806060886198,64.02184635651166,55242.32999999998,2511014.999999999,1747.2806060886198,4097888.0953300004,2511014.999999999,1000,0
Portugal,Coal|Hard coal|w/o CCS,1,1756.0,13.05253920699918,42379.999999999985,1695199.9999999998,1756.0,587805.625,1695199.9999999998,0,0
BigFrance,Coal|Hard coal|w/o CCS,1,19615.642512259034,13.05253920699918,42379.999999999985,1695199.9999999998,19615.642512259034,2650393.3614100004,1695199.9999999998,0,0
Spain,Coal|Hard coal|w/o CCS,1,3946.899889463788,13.05253920699918,42379.999999999985,1695199.9999999998,3946.899889463788,0.0,1695199.9999999998,0,0
BigFrance,Coal|Hard coal|w/ CCS,1,19.925501156099,21.33967041944816,79651.69642857143,4779101.7857142845,19.925501156099,165820.02062105556,4779101.7857142845,0,0
BigFrance,Coal|Lignite|w/o CCS,1,5288.981669934422,9.72193607895402,40260.99999999999,2013049.9999999998,5288.981669934422,7102144.681548055,2013049.9999999998,0,0
Spain,Coal|Lignite|w/o CCS,1,360.0,9.72193607895402,40260.99999999999,2013049.9999999998,360.0,0.0,2013049.9999999998,0,0
Portugal,Gas|CCGT|w/o CCS,1,3465.662801543978,31.24058558037973,18011.499999999993,663122.3529411763,3465.662801543978,1417480.7813597226,663122.3529411763,0,0
BigFrance,Gas|CCGT|w/o CCS,1,103279.7369609109,31.24058558037973,18011.499999999993,663122.3529411763,103279.7369609109,158427455.05903697,663122.3529411763,0,0
Spain,Gas|CCGT|w/o CCS,1,21434.73883218593,31.24058558037973,18011.499999999993,663122.3529411763,21434.73883218593,4123016.1308850003,663122.3529411763,0,0
Portugal,Gas|CCGT|w/ CCS,1,1.0,40.48321540763101,39731.24999999999,2383875.0,1.0,0.0,2383875.0,1000,0
BigFrance,Gas|CCGT|w/ CCS,1,2377.75377232269,40.48321540763101,39731.24999999999,2383875.0,2377.75377232269,17709955.824889448,2383875.0,1000,0
Spain,Gas|CCGT|w/ CCS,1,448.83892055151904,40.48321540763101,39731.24999999999,2383875.0,448.83892055151904,2949905.2430905555,2383875.0,1000,0
BigFrance,Gas|OCGT|w/o CCS,1,6097.008105935399,44.00609786326235,8475.999999999998,394232.55813953484,6097.008105935399,0.0,394232.55813953484,0,0
Spain,Gas|OCGT|w/o CCS,1,246.0,44.00609786326235,8475.999999999998,394232.55813953484,246.0,0.0,394232.55813953484,0,0
Portugal,Geothermal,1,1.0,2.55000000204,84759.99999999997,4735964.999999999,1.0,0.0,4735964.999999999,1000,0
BigFrance,Geothermal,1,1.0,2.55000000204,84759.99999999997,4735964.999999999,1.0,0.0,4735964.999999999,1000,0
Spain,Geothermal,1,1.0,2.55000000204,84759.99999999997,4735964.999999999,1.0,0.0,4735964.999999999,1000,0
Portugal,Hydrogen|OCGT,1,1.0,224.2926233766234,10862.285362499999,362076.17874999996,1.0,0.0,362076.17874999996,1000,0
BigFrance,Hydrogen|OCGT,1,2140.371621838265,224.2926233766234,10862.285362499999,362076.17874999996,2140.371621838265,0.0,362076.17874999996,1000,0
Spain,Hydrogen|OCGT,1,1.0,224.2926233766234,10862.285362499999,362076.17874999996,1.0,0.0,362076.17874999996,1000,0
Portugal,Nuclear,1,1.0,12.41513513513513,100122.75,6356999.999999998,1.0,0.0,6356999.999999998,1000,0
BigFrance,Nuclear,1,64730.40464645817,12.41513513513513,100122.75,6356999.999999998,64730.40464645817,482739965.7933464,6356999.999999998,1000,0
Spain,Nuclear,1,3119.17765279154,12.41513513513513,100122.75,6356999.999999998,3119.17765279154,23908496.708646946,6356999.999999998,1000,0
BigFrance,Oil|w/o CCS,1,19794.516585899957,78.91973908674551,6897.344999999998,688674.9999999999,19794.516585899957,0.0,688674.9999999999,0,0
Spain,Oil|w/o CCS,1,1007.308828125,78.91973908674551,6897.344999999998,688674.9999999999,1007.308828125,0.0,688674.9999999999,0,0
