Name;Zone;NumberUnits;MaxPower;MinPower;MaxPowerProfile;Energy;Kappa;Capacity;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
Solar|PV;BigFrance;1;367510.13;0;AggregatedTimeSerie_Solar|PV_BigFrance.csv;522510525.3;1;367510.12;1000;0;476775
Wind|Onshore;BigFrance;1;231281.86;0;AggregatedTimeSerie_Wind|Onshore_BigFrance.csv;515510696.9;1;231281.86;1000;0;1059500
Wind|Offshore;BigFrance;1;62886.82;0;AggregatedTimeSerie_Wind|Offshore_BigFrance.csv;268127931.7;1;62886.82;1000;0;2051192
Hydro|Run of River;BigFrance;1;86294837;0;AggregatedTimeSerie_Hydro|Run of River_BigFrance.csv;86294837;1;26508.25;0;0;0
Solar|PV;Portugal;1;11553.53;0;EDF__PV-LoadFactor-PresentClimate-PT__13082019__13082019__v1.csv;21688434.81;1;11553.53;1000;0;476775
Wind|Onshore;Portugal;1;14351.49;0;EDF__WindOnshore-LoadFactor-PresentClimate-PT__13082019__13082019__v1.csv;35851599.92;1;14351.49;1000;0;1059500
Hydro|Run of River;Portugal;1;13873513.17;0;EDF__RunOfRiver-HourlyCoefficient-PresentClimate-PT__18092019__18092019__v1.csv;13873513.17;1;4373;0;0;0
onwind;ES11;1;2136.93;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;359004.24;1;2136.93;40472;0;96085.888
solar;ES11;1;244.63;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;41097.84;1;244.63;8941;0;35602.0712
onwind;ES12;1;1380.89;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;231989.52;1;1380.89;49316;0;96085.888
solar;ES12;1;250.14;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;42023.52;1;250.14;9222;0;35602.0712
onwind;ES13;1;1386.04;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;232854.72;1;1386.04;45024;0;96085.888
solar;ES13;1;379.39;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;63737.52;1;379.39;14483;0;35602.0712
onwind;ES21;1;1887.27;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;317061.36;1;1887.27;50620;0;96085.888
solar;ES21;1;564.06;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;94762.08;1;564.06;17978;0;35602.0712
onwind;ES22;1;2389.28;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;401399.04;1;2389.28;53766;0;96085.888
solar;ES22;1;678.3;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;113954.4;1;678.3;20112;0;35602.0712
onwind;ES23;1;2379.45;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;399747.6;1;2379.45;69225;0;96085.888
solar;ES23;1;1064.55;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;178844.4;1;1064.55;32956;0;35602.0712
onwind;ES24;1;945.95;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;158919.6;1;945.95;41278;0;96085.888
ror;ES24;1;36.65;0;EDF__RunOfRiver-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;6157.2;1;36.65;1000;0;299140.2249
solar;ES24;1;480.17;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;80668.56;1;480.17;14061;0;35602.0712
onwind;ES30;1;1001.58;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;168265.44;1;1001.58;48913;0;96085.888
solar;ES30;1;763.25;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;128226;1;763.25;22381;0;35602.0712
onwind;ES41;1;1162.47;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;195294.96;1;1162.47;35138;0;96085.888
solar;ES41;1;397.93;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;66852.24;1;397.93;11821;0;35602.0712
onwind;ES42;1;4457.61;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;748878.48;1;4457.61;169173;0;96085.888
solar;ES42;1;2463.28;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;413831.04;1;2463.28;71366;0;35602.0712
onwind;ES43;1;1286.9;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;216199.2;1;1286.9;58451;0;96085.888
solar;ES43;1;615.61;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;103422.48;1;615.61;17862;0;35602.0712
onwind;ES51;1;363.48;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;61064.64;1;363.48;24059;0;96085.888
ror;ES51;1;110.36;0;EDF__RunOfRiver-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv;18540.48;1;110.36;1000;0;299140.2249
solar;ES51;1;287.89;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;48365.52;1;287.89;8792;0;35602.0712
onwind;ES52;1;2739.78;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;460283.04;1;2739.78;73245;0;96085.888
solar;ES52;1;1155.95;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;194199.6;1;1155.95;32893;0;35602.0712
onwind;ES61;1;2660.22;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;446916.96;1;2660.22;114547;0;96085.888
solar;ES61;1;1779.21;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;298907.28;1;1779.21;50055;0;35602.0712
onwind;ES62;1;648;0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;108864;1;648;27527;0;96085.888
solar;ES62;1;557.19;0;EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;93607.92;1;557.19;15258;0;35602.0712
