Zone;Name;NumberUnits;MaxPower;VariableCost;FixedCost;InvestmentCost;MaxAddedCapacity;MaxRetCapacity
BigFrance;Biomass|w/o CCS;1;22215.74;64.02184636;55242.33;2511015;1000;0
BigFrance;Coal|Hard coal|w/o CCS;1;19615.64;13.05253921;42380;1695200;0;0
BigFrance;Coal|Hard coal|w/ CCS;1;19.93;21.33967042;79651.69643;4779101.786;0;0
BigFrance;Coal|Lignite|w/o CCS;1;5288.98;9.721936079;40261;2013050;0;0
BigFrance;Gas|CCGT|w/o CCS;1;103279.74;31.24058558;18011.5;663122.3529;0;0
BigFrance;Gas|CCGT|w/ CCS;1;2377.75;40.48321541;39731.25;2383875;1000;0
BigFrance;Gas|OCGT|w/o CCS;1;6097.01;44.00609786;8476;394232.5581;0;0
BigFrance;Hydrogen|OCGT;1;2140.37;224.2926234;10862.28536;362076.1787;1000;0
BigFrance;Nuclear;1;64730.4;12.41513514;100122.75;6357000;1000;0
BigFrance;Oil|w/o CCS;1;19794.52;78.91973909;6897.345;688675;0;0
Portugal;Biomass|w/o CCS;1;737.9;64.02184636;55242.33;2511015;1000;0
Portugal;Coal|Hard coal|w/o CCS;1;1756;13.05253921;42380;1695200;0;0
Portugal;Gas|CCGT|w/o CCS;1;3465.66;31.24058558;18011.5;663122.3529;0;0
ES11;CCGT;1;1427.48;38.85517;0;99027.7293;1000;0
ES11;oil;1;62.58;148.85714;0;37870.8074;1000;0
ES12;CCGT;1;452.1;38.61937;0;99027.7293;1000;0
ES12;coal;1;1521.35;28.19697;0;349976.5536;1000;0
ES12;oil;1;18.8;148.85714;0;37870.8074;1000;0
ES13;CCGT;1;2254.72;38.85517;0;99027.7293;1000;0
ES21;CCGT;1;2064.3;43.17069;0;99027.7293;1000;0
ES22;CCGT;1;2035.9;38.85517;0;99027.7293;1000;0
ES22;coal;1;1120.7;28.19697;0;349976.5536;1000;0
ES23;CCGT;1;86;38.85517;0;99027.7293;1000;0
ES23;coal;1;485.8;28.19697;0;349976.5536;1000;0
ES24;CCGT;1;500.82;38.85517;0;99027.7293;1000;0
ES24;OCGT;1;23;53.52439;0;45095.4415;1000;0
ES24;nuclear;1;4054.8;11.37879;0;706772.6168;1000;0
ES24;oil;1;26.46;148.85714;0;37870.8074;1000;0
ES30;CCGT;1;460;38.85517;0;99027.7293;1000;0
ES42;CCGT;1;105;38.85517;0;99027.7293;1000;0
ES42;oil;1;16;148.85714;0;37870.8074;1000;0
ES42;CCGT2;1;106.5;38.85517;0;99027.7293;1000;0
ES42;oil2;1;87.73;148.85714;0;37870.8074;1000;0
ES43;nuclear;1;2017.1;11.37879;0;706772.6168;1000;0
ES51;CCGT;1;3499.7;38.85517;0;99027.7293;1000;0
ES51;nuclear;1;1045.3;11.37879;0;706772.6168;1000;0
ES52;CCGT;1;12.68;38.85517;0;99027.7293;1000;0
ES52;CCGT2;1;3675.83;74.44685;0;99027.7293;1000;0
ES61;CCGT;1;1738.7;38.85517;0;99027.7293;1000;0
ES61;CCGT2;1;482.5;44.48294;0;99027.7293;1000;0
ES61;biomass;1;20;14.89362;0;278083.0654;1000;0
ES61;CCGT3;1;3977.8;39.14984;0;99027.7293;1000;0
ES61;coal;1;543.02;28.19697;0;349976.5536;1000;0
ES61;oil;1;60.2;148.85714;0;37870.8074;1000;0
ES62;CCGT;1;3425.3;38.85517;0;99027.7293;1000;0
ES62;coal;1;1068.52;28.19697;0;349976.5536;1000;0
